"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\car_rental\lib\constants\assets.dart", "Dart", 2, 4, 2, 8
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\active_selector.dart", "Dart", 39, 0, 4, 43
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\car_brand_selector.dart", "Dart", 32, 1, 5, 38
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\recommend_car_card.dart", "Dart", 154, 10, 15, 179
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\search_view_body.dart", "Dart", 123, 0, 4, 127
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\section_header_row.dart", "Dart", 31, 0, 2, 33
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\selector_switcher.dart", "Dart", 19, 0, 2, 21
"c:\Dev\car_rental\lib\features\home\presentation\views\widgets\unactive_selector.dart", "Dart", 39, 0, 3, 42
"c:\Dev\car_rental\lib\features\on_boarding\presentation\views\widgets\main_view_body.dart", "Dart", -2, 0, 0, -2
"Total", "-", 437, 15, 37, 489
